TYPE,PROJECT,QUAD_24K,SM_NAME,SM_TYPE,SMD_TYPE,MVMTDATE,COL_DATE,NC_CNTY,ROAD,RD_AZ,SA_ASPCT,DATA_SRC,EL_HEAD,EL_APEX,EL_TOE,SLP_CNFG,D_MASS_L,D_MASS_W,D_MASS_T,TRKLENG,DAMAGE,MVMT_HIS,REMARKS,SOURCE1,SOURCE2,NCGSINVS,LAT,LONG,COMBTYPE
Process,Geohazards,ALARKA,Alarka Creek Slide,Debris Slide,,05/05-06/2003,6/22/2004,Swain,between Timber Estates Road and Alarka Rd,0,30,EMA-Swain County/NCGS,2350,0,0,Road Embankment,0,300,5,100,Sediment into Alarka Creek; threatening a mobile home,,Swain County #14,,,"RW, RL",35.35708,-83.43302,Debris Slide
Process,Geohazards,DELLWOOD,Maggie Valley Debris Flow,Debris Slide-Flow,,12/11/2003,12/11/2003,Haywood,between Locust Drive and Dogwood,117,52,NCGS,3360,0,3300,Road Embankment,38,25,10,0,Destroyed house; killed one person,No report of movement prior to 12/11/03,"1. Cv-Av fan, augen gneiss, USGS Prof. Paper 349-B.  2. No seepage observed in scarp on 12/11/03.  3. Water supply line exposed in scarp.   Cut slope for house site below road embankment.  2-3% mica in Cv matrix.  Upper Cv org. ML.",,,"RW,MC,RL",35.50493,-83.08503,Debris Slide-Flow
Process,Geohazards,HILLSBOROUGH,Occoneeche Mountain Rock Slide,Rock Slide,,2/18/2001,2/21/2001,Orange,Orange Grove Road,0,242,NCGS,750,0,0,Cut Slope - Not Road Related,200,100,0,0,Threatened visitor center/overlook,,"Volume of displaced rock was 2,500 cubic yards.",,,RW,36.0648,-79.1189,Rock Slide
Process,Geohazards,BUNCHES BALD,Soco Mountain Overlook,Debris Flow,,05/06-07/2003,4/28/2004,Haywood,U.S. Highway 19,82,350,EBCI/NCGS,3489,0,0,Road Embankment,50,100,5,0,Highway closed due to road damage,Unknown,"Roadway has been repaired, and rip-rap has been placed on the slope.",,,"RW, RL",35.51274,-83.14866,Debris Flow
Process,Landslide Hazard Mapping,CANTON,Holder Branch,Weathered-rock slide,,1984,12/25/1985,Haywood,US Highway 19-23,90,180,NCDOT,2440,0,0,Road Cut,120,200,10,0,Unknown,Unknown,,NCDOT data provided by Anne Witt; locations determined based on descriptions in spreadsheet,"Witt, A.C., 2005, Using a GIS (geographic information system) to model slope instability and debris flow hazards in the French Broad River watershed, North Carolina:  Masters thesis, North Carolina State University, Raleigh, NC, 165 p.",,35.53665,-82.81195,Weathered-rock slide
Process,Landslide Hazard Mapping,HAZELWOOD,Hazelwood Exit,Weathered-rock slide,,1985,2/18/1989,Haywood,US Highway 19-23,215,125,NCDOT,2860,0,2800,Road Cut,115,400,20,0,Affects power poles at top of slope; blocked one lane of traffic,3 failures,Inclinometer installed to monitor power poles,NCDOT data provided by Anne Witt; locations determined based on descriptions in spreadsheet,,,35.4876,-83.0072,Weathered-rock slide
Process,Landslide Hazard Mapping,WATERVILLE,Twin Tunnels,Rock Slide,,3/5/1985,3/5/1985,Haywood,Interstate 40,235,145,NCDOT,2040,0,1920,Road Cut,120,100,0,0,Tunnel structure affected; road closed for 1.5 weeks,Unknown,Survey targets installed,NCDOT data provided by Anne Witt; locations determined based on descriptions in spreadsheet,"Witt, A.C., 2005, Using a GIS (geographic information system) to model slope instability and debris flow hazards in the French Broad River watershed, North Carolina:  Masters thesis, North Carolina State University, Raleigh, NC, 165 p.",,35.75571,-83.04264,Rock Slide
Process,Landslide Hazard Mapping,MOUNT GUYOT,smky_mtn_001,Debris Flow,,,,Swain,,0,148,Scott Southworth -- USGS,5276,0,1515,Unmodified,0,65,0,565,,,,"Southworth, S., Schultz, A., and Denenny, D., 2005, Geologic map of the Great Smoky Mountains National Park region, Tennessee and North Carolina: U. S. Geological Society Open-file Report 2005-1225.",,,35.65935,-83.28744,Debris Flow
Process,Landslide Hazard Mapping,MOUNT GUYOT,smky_mtn_002,Debris Flow,,,,Swain,,0,160,Scott Southworth -- USGS,5285,0,1589,Unmodified,0,75,0,210,,,,"Southworth, S., Schultz, A., and Denenny, D., 2005, Geologic map of the Great Smoky Mountains National Park region, Tennessee and North Carolina: U. S. Geological Society Open-file Report 2005-1225.",,,35.67157,-83.28034,Debris Flow
Process,Geohazards,WESSER,Charley Branch #2,Debris Flow,,Unknown,6/30/2004,Swain,Glory Mountain Road,0,210,NCGS/Jay Aaron--resident,2480,0,0,Embankment - Not Road Related,0,0,0,0,Tension cracks forming along edge of embankment,,,,,"RW, RL",35.34235,-83.55189,Debris Flow
Process,Geohazards,WESSER,Charley Branch #5,Debris Flow,,05/06-07/2003,6/30/2004,Swain,Ridge Crest Road,94,160,NCGS/Jay Aaron--resident,2650,0,0,Road Embankment,70,65,10,960,Scoured drainage; removed edge of road embankment; acid drainage?,,"Sulfidic, orange water at terminus of flow; calculated velocity of debris flow is 25 miles per hour with a discharge of approximately 30,000 cfs",,,"RW, RL",35.33831,-83.55681,Debris Flow
Process,Geohazards,BUFFALO COVE,Buffalo Cove Rd Rock Slide,Rock Slide,,06/18/04 (?),7/23/2004,Caldwell,Buffalo Cove Road,215,306,WLOS,1400,0,0,Road Cut,50,40,12,0,,,"Seeps observed at initial visit on 6/23/04 of 1-2 gpm, but none were seen on day data was collected (7/23/04).",,,"RW, RL",36.07932,-81.52604,Rock Slide
Process,Blue Ridge Parkway,DUNSMORE MOUNTAIN,DMR-1,Rock Slide,,Unknown,4/16/2004,Henderson,Blue Ridge Parkway,118,180,NCGS,3600,0,0,Road Cut,100,90,15,0,Unknown,+15 year old trees growing on rubble,,,,"RW, RL",35.45267,-82.68631,Rock Slide
Process,Blue Ridge Parkway,DUNSMORE MOUNTAIN,DMR-4,Rock Slide,,Unknown,4/16/2004,Henderson,Blue Ridge Parkway,35,155,NCGS,3558,0,0,Road Cut,125,200,10,0,Unknown,Unknown,15 year old poplars growing on rubble,,,"RW, RL",35.45675,-82.67363,Rock Slide
Process,Blue Ridge Parkway,DUNSMORE MOUNTAIN,DMR-8,Rock Slide,,Unknown,"04/19/2004, 1/5/2005",Henderson,Blue Ridge Parkway MM401,150,190,NCGS,3334,0,0,Road Cut,75,125,25,0,Closed Blue Ridge Parkway for repairs,Initial movement unknown; failed again 12/15/2004;,,,,"RW, RL",35.45362,-82.66545,Rock Slide
Process,Landslide Hazard Mapping,VALLE CRUCIS,Mossy Creek Lane,Debris Slide,,09/16-17/2004,,Avery,Mossy Creek Lane,130,,Deana Sneyd - Golder Associates,4200,0,0,Road Embankment,0,0,0,0,Removed part of road,Nearby portion failed 10/1995.  This section failed during Hurricane Ivan.,See report in file,,,,36.1263,-81.8581,Debris Slide
Process,Landslide Hazard Mapping,SPRUCE PINE,Oak Ave Stop 4,Debris Slide,,Unknown,6/20/2005,Mitchell,Oak Avenue,0,175,NCGS,2630,0,2600,Cut Slope - Not Road Related,0,25,10,0,Unknown,Unknown,Curved stumps on recently cut trees,,,"RW, RL",35.91741,-82.07134,Debris Slide
Process,Landslide Hazard Mapping,SPRUCE PINE,Oak Ave Stop 5,Rock Slide,,Unknown,6/20/2005,Mitchell,Oak Avenue,0,175,NCGS,2630,0,0,Cut Slope - Not Road Related,20,15,0,0,Unknown,Unknown,Leaning trees present on the slope,,,"RW, RL",35.9174,-82.071,Rock Slide
Process,Landslide Hazard Mapping,SPRUCE PINE,Oak Ave Stop 6,Debris Slide,,Unknown,6/20/2005,Mitchell,Oak Avenue,0,175,NCGS,2610,0,2560,Cut Slope - Not Road Related,65,75,0,0,Slide is creeping toward/over retaining wall behind Kathy's Shear Attraction.,Unknown,Survey markers on the slope; new road being constructed at the top of the failure; significant number of leaning trees observed.,,,"RW, RL",35.91752,-82.07039,Debris Slide
Process,Geohazards,HIGHLANDS,Brush Creek 2,,,,,Macon,,61,153,Erin Bronk -- USFS (HRD),0,0,0,Road Embankment,0,0,0,0,,,,,,,35.1025,-83.23389,
Process,Geohazards,HIGHLANDS,Stewart Cove 1,,,,,Macon,,0,323,Erin Bronk -- USFS (HRD),0,0,0,,0,0,0,0,,,,,,,35.12306,-83.2075,
Process,Geohazards,HIGHLANDS,Stewart Cove 2,,,,,Macon,,0,88,Erin Bronk -- USFS (HRD),0,0,0,,0,0,0,0,,,,,,,35.12389,-83.20583,
Process,Geohazards,BRYSON CITY,Lands Creek Debris Flow,Debris Slide-Flow,,12/23/1990,,Swain,Lands Creek Road (NC 1329),11,115,NCGS,2995,0,2200,Road Embankment,29,0,7,2400,"Destroyed Bryson City municipal water chlorinator system, mobile home and utility lines.  Blocked private roads, sedimentation into Lands Creek.",,"Estimates of the debris flow velocity and discharge made at two locations along the track yielded values of 23 mph and 18,400 cfs and 10 mph and 13,800 cfs.",,,RW,35.46583,-83.47417,Debris Slide-Flow
Process,Geohazards,RAINBOW SPRINGS,Poplar Cove Debris Flow,Debris Flow,,10/5/1995,2/24/1998,Macon,U.S. Highway 64,0,55,NCGS/USFS,4080,0,2640,Unmodified,0,0,0,5000,"Sedimentation into Cartoogechaye Creek, Franklin water supply; damaged USFS road.",,Hurricane Opal,,,RW,35.11972,-83.53861,Debris Flow
Process,Geohazards,DELLWOOD,Johnson Branch Slide,Debris Flow,,Unknown,,Haywood,Turkey Pen Rd on Johnson Branch,0,350,USFS,3800,0,0,Unmodified,0,0,0,0,Unknown,Unknown,Track length is approximately 1.28 miles long; attempted to locate on 7/22/04 without success; no indication of recent movement; information regarding this slide comes from word of mouth.,,,"RW, RL",35.50138,-83.09444,Debris Flow
Process,Geohazards,BAT CAVE,Chimney Rock Debris Flow,Debris Flow,,1993,,Rutherford,,0,120,NCGS,2820,0,0,Road Cut,200,150,40,0,Damage to commercial facility parking lot,,Debris slide-flow. Colluvial wedge failed.  Displaced mass dimensions approximate. Foliation data from Davis (1993) Ph.D. dissertation map/CGS 1993 Guidebook.,,,RW,35.42332,-82.25955,Debris Flow
Process,Geohazards,MT MITCHELL,Mt. Mitchell Debris Flow,Debris Flow,,"11/02,05/1977",,Yancey,N.C. 197,0,105,NRCS,6400,0,0,Unmodified,0,0,0,0,,,Several debris flows triggered by tropical depression,,,,35.76472,-82.26555,Debris Flow
Process,Geohazards,SYLVA NORTH,Dicks Creek Debris Flow,Debris Flow,,3/17/1990,,Jackson,Washington Creek Road,0,270,USFS,3500,0,0,Unmodified,0,100,2,1600,Shuton Gap Road (FDR 7019) may be threatened.  Site productivity may be lowered without treatment,Unknown,Seasonably high rainfall coupled with harsh storms,,,,35.43472,-83.24722,Debris Flow
Process,Geohazards,CARY,Waterford Forest Embankment Failure,Debris Slide,,Winter/spring 1995,7/15/1998,Wake,NW Maynard Road,0,79,NCGS,400,0,0,Embankment - Not Road Related,50,200,25,0,Threatening apartment complex,,Displaced mass dimensions approximate.,,,"RW, JB",35.7866,-78.8059,Debris Slide
Process,Geohazards,WATERVILLE,I-40 MP 1 slide,Rock Slide,,7/1/1997,,Haywood,Interstate 40,0,205,NCDOT,1752,0,0,Road Cut,500,350,0,0,Closed interstate completely for 10 weeks,Mudslide onto I-40 at same location on 3/29/91 destroying a retaining wall and closing the interstate for several hours.,"Heavy rain in June. Foliation orientation approximate and is value for 'discontinuities' in R. Glass 1998 abstract.  Bedding is slide plane, discontinuities are west side of wedge.",,,,35.77532,-83.09097,Rock Slide
Process,Geohazards,BUFFALO COVE,U.S. 321,Creep,,4/10/2003,7/23/2004,Caldwell,U.S. Highway 321,315,10,NCDOT,2200,0,0,Road Cut,400,275,50,0,Closed road in both directions for 3 weeks,,"7 miles south of Blowing Rock on US 321; a nearby resident said that the road was closed for 3 months, that the fill had been repaired 2 times previously, and that the culvert had discharged water onto fill with water ponding on the fill.",,,,36.06418,-81.61204,Creep
Process,Geohazards,WATERVILLE,Dry Branch Debris Flow 1,Debris Flow,,7/9/1994,,Haywood,,0,160,USFS/Anne Witt--graduate student,3000,0,0,Unmodified,0,0,0,0,Potentially threaten human lives; I-40 may become blocked; cars may be damaged,Unknown,"Also, several slides above Skiffley Creek Road",,,,35.7737,-83.0377,Debris Flow
Process,Geohazards,WATERVILLE,Dry Branch Debris Flow 2,Debris Flow,,7/9/1994,,Haywood,,0,160,USFS/Anne Witt--graduate student,3000,0,0,Unmodified,0,0,0,0,Human lives potentially threatened; I-40 may become blocked; cars may be damaged.,Unknown,,,,,35.77712,-83.03526,Debris Flow
Process,Geohazards,MARION WEST,Toms Creek Quarry Slide,Rock Slide,,Unknown,,McDowell,N.C. 226,0,10,NCGS/LQS,1280,0,0,Cut Slope - Not Road Related,0,0,0,0,,Unknown,,,,"MC, CM",35.72037,-82.04797,Rock Slide
Process,Geohazards,NOLAND CREEK,So Hi Slide,Debris Flow,,05/05-06/2003,5/11/2004,Swain,So Hi Trail,35,116,EMA-Swain County,2400,0,0,Road Embankment,0,150,0,625,Damage to road,"May 5-6, 2003",Swain County #4; Coordinates measured on lower leg of So Hi Trails,,,"RW, RL",35.38583,-83.58287,Debris Flow
Process,Geohazards,WESSER,Mike's Dawg House Slide,Debris Slide,,05/05-06/2003,5/11/2004,Swain,U.S. Highway 19/74 at Nantahala Cabins Lane,16,285,NCGS,2180,0,0,Road Cut,150,175,30,0,Unknown,Unknown,"Curved trees ~18 inches present on slope; approximately 6 ""stair steps"" down to road; land owner said that the drain field for his cabins is in the sliding mass",,,"RW, RL",35.34071,-83.56157,Debris Slide
Process,Geohazards,WESSER,Tory Lane Slide,Debris Slide-Flow,,05/05-06/2003,6/24/2004,Swain,Tory Lane,45,320,EMA-Swain county/ NCGS,2270,0,0,Cut Slope - Not Road Related,60,55,6,0,Damage to house and private driveway,,Swain County #6; Timber recently cut above house;,,,"RW, RL",35.3365,-83.5612,Debris Slide-Flow
Process,Geohazards,WESSER,Downhill Drive Slide,Debris Slide,,05/05-06/2003,5/11/2004,Swain,Downhill Dr off Nantahala Cabins Lane,0,227,EMA-Swain county,2280,0,0,Cut Slope - Not Road Related,15,45,0,0,Pushed cabin 2 feet forward on foundation,"May 5-6, 2003","Swain County #7; Owners said they felt tremors from the April 29, 2003 earthquake in Fort Payne, AL; reported 17 inches of rain over 3 days; reported moving 60 loads of material from behind cabin",,,"RW, RL",35.34081,-83.56042,Debris Slide
Process,Geohazards,WESSER,Charley Branch #3,Debris Flow,,05/05-06/2003,6/30/2004,Swain,off Glory Mountain Road,43,170,NCGS/Jay Aaron--resident,2560,0,0,Road Embankment,130,0,0,0,Tension cracks developing along road and embankment side of building pad.,"Unknown (cracks have been ""filled"" several times); movement has been creep with no major slope failures","Water line to lots located in the middle of tension crack along lower road; in order to connect water to lots, line would have to be laid parallel to tension cracks.",,,"RW, RL",35.34204,-83.55106,Debris Flow
Process,Geohazards,WESSER,Charley Branch #4,Debris Flow,,05/05-06/2003,6/30/2004,Swain,Grouse Road,35,156,EMA-Swain County/NCGS,2600,0,0,Embankment - Not Road Related,0,75,8,1200,Damage to private road; knocked cabin off foundation; knocked down utility pole,,"Swain County #10; Active minor scarp on west side of main scarp with tension crack 18"" deep and minor offset.",,,"RW, RL",35.34059,-83.55537,Debris Flow
Process,Geohazards,WESSER,Charley Branch #1,Debris Flow,,05/05-06/2003,6/24/2004,Swain,Morgan's Ridge Road,0,162,EMA-Swain County/NCGS,2370,0,0,Embankment - Not Road Related,0,130,0,1460,Removed part of yard; destroyed community water source; filled pond; blocked road,,Swain County #9; Homeowner is Regina Vamvakias;  trees on slope cut prior to failure (9' pine stump below house),,,"RW, RL",35.33945,-83.54857,Debris Flow
Process,Blue Ridge Parkway,CRAGGY PINNACLE,CPR-82,Rock Slide,,Unknown,1/16/2004,Buncombe,Blue Ridge Parkway at Elk Mountain Scenic Highway,44,132,NCGS,3240,0,0,Road Cut,0,0,0,0,Unknown,Unknown,,,,"RW, RL",35.66344,-82.47939,Rock Slide
Process,Blue Ridge Parkway,SKYLAND,BRP Mile 394/SKR-3,Rock Slide,,Unknown,2/4/2004,Buncombe,Blue Ridge Parkway,5,105,NCGS,2150,0,0,Road Cut,60,60,0,0,Unknown,Unknown,,,,"RW, RL",35.49463,-82.59438,Rock Slide
Process,Geohazards,WHITTIER,Cherokee Gap East Slide,Rock Slide,,05/05-06/2003,4/28/2004,Swain,U.S. Highway 19,110,20,EBCI/NCGS,1958,0,0,Road Cut,25,40,8,0,Blocked eastbound lanes of Hwy 19,Prior rockfall indicated by rock fall fences; continued rockfall,EBCI S-2; Gabions and jersey barriers to block east bound lanes away from base of cut,,,"RW, RL",35.47146,-83.31261,Rock Slide
Process,Geohazards,SPRUCE PINE,Grassy Creek Mine Waste Slide,Debris Slide,,10/3/2003,3/3/2004,Mitchell,N.C. Highway 226,0,270,NCGS/LQS,2580,0,0,Embankment - Not Road Related,125,100,3,0,Threatening trout stream at base of slope,Unknown,"Mine waste grain sizes vary.  Light gray ML to SM (fine, micaceous silty sand) predominate at surface. Interior material types unknown. Displ. mass dimen. approximate; several slope failures with these dimensions.",,,"RW, RL",35.89231,-82.06467,Debris Slide
Process,Geohazards,CLYDE,Days Inn Embankment Failure,Debris Slide,,Unknown,2/9/2004,Haywood,Phillips Road off Highway 276,0,55,NCGS,2800,0,0,Embankment - Not Road Related,0,0,0,0,Erosion of side embankment and on natural slope above hotel,,,,,"RW, RL",35.5053,-82.9959,Debris Slide
Process,Geohazards,CLYDE,Burger King Cut Slope Failure,Weathered-rock slide,,Unknown,7/22/2004,Haywood,Highway 276,203,125,Mike Owens,2690,0,0,Cut Slope - Not Road Related,80,170,10,0,Eroding property of homeowner above head scarp (currently in litigation); H-pile wall with timber lagging at base of slide.,,Exposed sewer/water pipe in head scarp,,,"RW, RL",35.50109,-82.98894,Weathered-rock slide
Process,Geohazards,BRYSON CITY,Lands Creek Debris Flow II,Debris Flow,,May-03,5/3/2004,Swain,Lands Creek/ White Oak,0,140,NCGS/LQS,3218,0,2240,Road Embankment,80,80,0,3400,Trees in Bryson City Reservoir,Unknown,Chip Koontz with LQS received calls concerning trees in reservoir late June/early July 2003.  Field visit on 6/17/04 revealed that reservoir has been drained and is being abandoned.,,,"RW, RL",35.47241,-83.47657,Debris Flow
Process,Geohazards,BRYSON CITY,Lands Creek III,Debris Flow,,Unknown,5/3/2004,Swain,Lands Creek/White Oak,0,110,NCGS,3360,0,0,Road Embankment,120,120,3,0,Unknown,Unknown,Original ground surface is approximately 40 degrees,,,"RW, RL",35.47454,-83.47631,Debris Flow
Process,Geohazards,TUCKASEGEE,Sugar Creek,,,,,Jackson,,0,262,Erin Bronk -- USFS (HRD),0,0,0,Road Embankment,0,0,0,0,,,,,,,35.30389,-83.01639,
Process,Geohazards,SAM KNOB,Cold Springs,,,,,Jackson,,0,,Erin Bronk -- USFS (HRD),0,0,0,,0,0,0,0,,,,,,,35.28639,-82.9475,
Process,Geohazards,TUCKASEGEE,Moses Creek,,,,,Jackson,,0,187,Erin Bronk -- USFS (HRD),0,0,0,,0,0,0,0,,,,,,,35.36028,-83.10056,
Process,Geohazards,HIGHLANDS,Little Yellow,,,,,Macon,,0,,Erin Bronk -- USFS (HRD),0,0,0,,0,0,0,0,,,Check coordinates.,,,,35.02833,-83.22806,
Process,Geohazards,PISGAH FOREST,Maxwell Cove Slide,Debris Slide-Flow,,1996,,Transylvania,,0,255,Anne Witt--graduate student/Dockal,3279,0,0,Unmodified,0,0,0,0,,,,"Witt, A.C., 2005, Using a GIS (geographic information system) to model slope instability and debris flow hazards in the French Broad River watershed, North Carolina:  Masters thesis, North Carolina State University, Raleigh, NC, 165 p.",,,35.31822,-82.73628,Debris Slide-Flow
Process,Geohazards,SHINING ROCK,Davidson River Slide,Debris Slide-Flow,,8/17/1994,,Transylvania,Davidson River Road,0,160,USFS/Anne Witt--graduate student,2500,0,0,Unmodified,0,0,0,0,Closed road west of intersection with FS 475B to the Cove Creek Group Camp.,,Information in article appears to locate this in the same place as the one mentioned by Anne Witt.,"Witt, A.C., 2005, Using a GIS (geographic information system) to model slope instability and debris flow hazards in the French Broad River watershed, North Carolina:  Masters thesis, North Carolina State University, Raleigh, NC, 165 p.",,,35.28414,-82.80804,Debris Slide-Flow
Process,Geohazards,BUFFALO COVE,Winding Stair Mtn Rock Slide,Rock Slide,,Unknown,7/23/2004,Caldwell,Buffalo Cove Road,267,353,NCGS,1600,0,0,Road Cut,80,60,10,0,Unknown,Unknown,,,,"RW, RL",36.05748,-81.52381,Rock Slide
Deposit,Blue Ridge Parkway,BUNCHES BALD,RBB-4,,block stream,Unknown,1/26/2005,Swain,Blue Ridge Parkway,241,336,NCGS,0,4120,3920,Unmodified,0,0,0,0,,,,,,"RW, RL",35.52673,-83.23935,block stream
Process,Blue Ridge Parkway,BUNCHES BALD,RBB-5,Composite,,Unknown,1/26/2005,Swain,Blue Ridge Parkway,280,5,NCGS,4100,0,4015,Road Cut,125,125,10,0,,,Rock falling while at site,,,"RW, RL",35.52788,-83.23721,Composite
Deposit,Blue Ridge Parkway,BUNCHES BALD,RBB-6,,block stream,Unknown,1/26/2005,Swain,Blue Ridge Parkway,340,42,NCGS,0,4560,4220,Unmodified,0,0,0,0,,,,,,"RW, RL",35.52603,-83.23404,block stream
Deposit,Blue Ridge Parkway,BUNCHES BALD,RBB-7,,block stream,Unknown,1/26/2005,Jackson,Blue Ridge Parkway,241,260,NCGS,0,4960,4800,Unmodified,0,0,0,0,,,,,,"RW, RL",35.51531,-83.19346,block stream
Process,Geohazards,DUNSMORE MOUNTAIN,DM62,Debris Flow,,11/05-06/1977,,Buncombe,,0,26,"J. Pomeroy, R. Otteman",2570,0,2440,,0,35,2,250,Unknown,Unknown,Pomeroy 4,"Pomeroy, J.S., 1991, Map showing late 1977 debris avalanches southwest of Asheville, western North Carolina:  U.S. Geological Survey Open-File Report 91-334, 25 p., map scale 1:24,000.","Otteman, R.A., 2001, Using GIS to model debris flow susceptibility for the Bent Creek Experimental Forest near Asheville, North Carolina [Master's Thesis]:  East Carolina University, 181 p.",,35.47884,-82.68634,Debris Flow
Process,Geohazards,DUNSMORE MOUNTAIN,DM64,Debris Flow,,11/05-06/1977,,Buncombe,,0,51,"J. Pomeroy, R. Otteman",3480,0,2560,,0,30,5,3800,Unknown,Unknown,Pomeroy 27,"Pomeroy, J.S., 1991, Map showing late 1977 debris avalanches southwest of Asheville, western North Carolina:  U.S. Geological Survey Open-File Report 91-334, 25 p., map scale 1:24,000.","Otteman, R.A., 2001, Using GIS to model debris flow susceptibility for the Bent Creek Experimental Forest near Asheville, North Carolina [Master's Thesis]:  East Carolina University, 181 p.",,35.46897,-82.66645,Debris Flow
Process,Geohazards,DUNSMORE MOUNTAIN,DM65,Debris Flow,,11/05-06/1977,,Buncombe,,0,17,"J. Pomeroy, R. Otteman",3000,0,2440,,0,51,0,1900,Unknown,Unknown,Pomeroy 15,"Pomeroy, J.S., 1991, Map showing late 1977 debris avalanches southwest of Asheville, western North Carolina:  U.S. Geological Survey Open-File Report 91-334, 25 p., map scale 1:24,000.","Otteman, R.A., 2001, Using GIS to model debris flow susceptibility for the Bent Creek Experimental Forest near Asheville, North Carolina [Master's Thesis]:  East Carolina University, 181 p.",,35.49728,-82.65042,Debris Flow
Process,Other -- Gorges State Park,REID,Toxaway River Slide,Weathered-rock slide,,1916?,"07/2000, 10-11/2001",Transylvania,,0,249,NCGS,1880,0,1620,Unmodified,600,715,30,0,,Movement between 1965 and 1974; activity in north portion within last 15 years;,,,,"RW, MC, CM",35.0931,-82.9153,Weathered-rock slide
